test_start,test_end,model_path,imp_tech_trend,imp_tech_extension,imp_tech_volume,imp_mom_12_1,imp_mom_3m,imp_mom_rs,imp_qual_gpa,imp_qual_fcf,imp_qual_roa,imp_fund_value,imp_fund_growth,imp_earnings_drift,IC_test,Mono_test,Q5Q1_test_pct,TopRet_test_pct
2023-11,2023-11,reports/regression\nifty500\sub\lambdarank_models\fold011_2023-11.txt,23.758231126819737,84.67814182727307,0.0,283.73997578247963,34.53500632482246,62.083670019492274,0.0,0.0,0.0,29.834755476946157,67.26956105843783,81.11032097055568,0.0179,-0.6,-1.24,95.61
2023-12,2023-12,reports/regression\nifty500\sub\lambdarank_models\fold012_2023-12.txt,24.31059618640211,88.26360850200581,0.0,248.79859481585663,40.42520491144592,65.11551096576295,0.0,0.0,0.0,42.33032192353858,71.68435873476119,104.13100327848892,0.3158,0.9,13.19,158.27
2024-01,2024-01,reports/regression\nifty500\sub\lambdarank_models\fold013_2024-01.txt,14.273839175264584,96.00701176988036,0.0,299.9556321693417,30.542957201098034,82.2351922927628,0.0,0.0,0.0,39.26203106379762,84.89030800398905,56.087155809211254,0.0474,0.6,2.28,28.6
2024-02,2024-02,reports/regression\nifty500\sub\lambdarank_models\fold014_2024-02.txt,12.053381677927973,81.5783856063531,0.0,274.23857811379025,35.89136841613799,29.297622778976802,0.0,0.0,0.0,29.67840588955187,76.58379134083225,78.82711835656482,-0.0266,-0.3,-0.49,33.27
2024-03,2024-03,reports/regression\nifty500\sub\lambdarank_models\fold015_2024-03.txt,8.934218160342425,88.8934393582822,0.0,248.93059598937543,30.252510011254344,46.1310221518288,0.0,0.0,0.0,33.17998036892095,90.94869238956016,68.55688907959666,0.127,0.5,3.69,110.06
2024-04,2024-04,reports/regression\nifty500\sub\lambdarank_models\fold016_2024-04.txt,6.4253307594917715,91.16440991299169,0.0,91.32175980115062,38.48921879561385,240.94753819151083,0.0,0.0,0.0,19.6248446390382,69.82807037131715,70.13189430917828,0.0473,0.7,1.56,39.25
2024-05,2024-05,reports/regression\nifty500\sub\lambdarank_models\fold017_2024-05.txt,6.556341460731346,82.79896115445808,0.0,247.6621064645151,23.090584719961043,58.184773647313705,0.0,0.0,0.0,51.13369739477821,86.00937550536287,63.494381982207415,-0.0914,-0.2,0.01,118.02
2024-06,2024-06,reports/regression\nifty500\sub\lambdarank_models\fold018_2024-06.txt,8.195643419981934,63.20977017834093,0.0,232.9949267297925,18.021905666159,120.54843920914573,0.0,0.0,0.0,26.849617217798368,83.6081980860472,70.9759445010568,-0.0037,0.3,0.4,78.29
2024-07,2024-07,reports/regression\nifty500\sub\lambdarank_models\fold019_2024-07.txt,3.724918577063363,87.73244215684463,0.0,100.35105129750445,42.43079947352817,259.6672982703749,0.0,0.0,0.0,46.91980600398665,74.93652418355396,49.60388684657664,-0.0786,-0.8,-0.57,17.52
2024-08,2024-08,reports/regression\nifty500\sub\lambdarank_models\fold020_2024-08.txt,31.599302321243158,70.25417176012706,0.0,308.45284268585965,23.48224031832069,53.07213832930756,0.0,0.0,0.0,38.662675101164496,74.6044369326234,85.5519005614915,-0.1034,-0.6,-1.42,18.51
2024-09,2024-09,reports/regression\nifty500\sub\lambdarank_models\fold021_2024-09.txt,17.167822057614103,82.96650254330598,0.0,231.24427679670043,32.44708957406692,89.32361341228898,0.0,0.0,0.0,32.80210517143132,75.65798560544499,51.89864153508097,0.0534,0.3,2.07,-54.7
2024-10,2024-10,reports/regression\nifty500\sub\lambdarank_models\fold022_2024-10.txt,16.396849453944014,70.56651224700909,0.0,82.97693830972719,44.21298074584047,252.94772020447272,0.0,0.0,0.0,24.994718100919272,83.92762785824016,128.39140365344065,0.0736,0.6,1.55,30.08
2024-11,2024-11,reports/regression\nifty500\sub\lambdarank_models\fold023_2024-11.txt,17.036727533087742,94.4700433822727,0.0,191.35569394682898,40.48817271165899,120.42780266456975,0.0,0.0,0.0,18.553802711161552,101.02746635055519,80.12958334268478,0.1569,0.7,4.46,43.06
2024-12,2024-12,reports/regression\nifty500\sub\lambdarank_models\fold024_2024-12.txt,34.76638259080573,98.8154388024559,0.0,195.91906646171265,31.040791297215037,93.90365526814458,0.0,0.0,0.0,58.55468533223029,64.9499953097802,75.93328256556924,-0.2712,-1.0,-7.19,-138.23
2025-01,2025-01,reports/regression\nifty500\sub\lambdarank_models\fold025_2025-01.txt,29.1926938332017,102.18423877592795,0.0,234.79698881381773,51.872522665566066,71.65595479804324,0.0,0.0,0.0,27.614216571219913,85.48526657378534,49.64630417006242,-0.0075,-0.3,-0.21,-154.29
2025-02,2025-02,reports/regression\nifty500\sub\lambdarank_models\fold026_2025-02.txt,53.98419646252296,95.40565007366968,0.0,60.09585516367224,57.63494785624789,174.7099277037778,0.0,0.0,0.0,52.466421666395036,108.35595504305456,76.95891868215745,0.0366,0.7,1.84,133.4
2025-03,2025-03,reports/regression\nifty500\sub\lambdarank_models\fold027_2025-03.txt,48.6061434373114,45.23215794142743,0.0,48.00806614580506,44.78428224083473,66.81769655982498,0.0,0.0,0.0,61.06436976968871,97.7943222541926,152.05603236008028,-0.0424,-0.6,-0.14,20.22
2025-04,2025-04,reports/regression\nifty500\sub\lambdarank_models\fold028_2025-04.txt,35.259377433023474,116.78876768169835,0.0,239.45345411953167,25.883965003413323,57.84289595444352,0.0,0.0,0.0,32.30847381206149,62.42288649021066,53.82971368555445,-0.1936,-0.9,-5.0,91.3
2025-05,2025-05,reports/regression\nifty500\sub\lambdarank_models\fold029_2025-05.txt,25.120758303717594,113.12221653147753,0.0,191.96016673963607,44.866583783103124,99.51826033545512,0.0,0.0,0.0,33.4563150124668,59.7940258243907,59.37840274107111,0.1109,0.9,3.34,61.53
2025-06,2025-06,reports/regression\nifty500\sub\lambdarank_models\fold030_2025-06.txt,56.7814369204807,173.86630098762953,0.0,85.72997548360581,16.972216428548563,66.46650094079547,0.0,0.0,0.0,33.283069167235226,84.5426072851742,58.838985465021324,-0.0077,-0.3,-0.34,-25.92
2025-07,2025-07,reports/regression\nifty500\sub\lambdarank_models\fold031_2025-07.txt,17.845571852132707,92.43983387535991,0.0,230.41171246761792,31.402497424627654,92.95930779921764,0.0,0.0,0.0,25.01945609637187,89.44207116717735,60.008056492049946,-0.034,0.0,-2.13,-32.31
2025-08,2025-08,reports/regression\nifty500\sub\lambdarank_models\fold032_2025-08.txt,21.007404279967886,100.66428709827926,0.0,198.82080911116782,25.324670353496913,49.34321820861078,0.0,0.0,0.0,40.306112329148164,57.55600452218414,68.14976432641484,-0.0145,0.3,0.16,-7.67
2025-09,2025-09,reports/regression\nifty500\sub\lambdarank_models\fold033_2025-09.txt,25.05082519327152,91.91057549313155,0.0,181.83143670726508,51.809890091390116,54.346827428322285,0.0,0.0,0.0,22.474174619514088,67.48544250501254,55.861275044910144,0.0463,0.7,2.15,63.86
2025-10,2025-10,reports/regression\nifty500\sub\lambdarank_models\fold034_2025-10.txt,19.806592294942675,64.68239782271121,0.0,219.95773911605647,23.3731639741236,48.413359925558325,0.0,0.0,0.0,31.00611949211816,79.29864573755913,85.72270889615265,0.0599,0.6,1.26,-12.77
2025-11,2025-11,reports/regression\nifty500\sub\lambdarank_models\fold035_2025-11.txt,17.244741767047344,83.6187320159114,0.0,164.96567193640044,20.26134674408604,107.58294662263933,0.0,0.0,0.0,16.45419883236991,115.3557196157526,91.39465067852143,0.1399,0.9,3.14,21.62
2025-12,2025-12,reports/regression\nifty500\sub\lambdarank_models\fold036_2025-12.txt,16.045630816785433,58.47404584851756,0.0,202.67281575287052,17.032347605214454,19.15467794192955,0.0,0.0,0.0,30.407344185556212,137.28798667354567,65.52124596206704,0.1912,1.0,5.11,-30.4
2026-01,2026-01,reports/regression\nifty500\sub\lambdarank_models\fold037_2026-01.txt,31.734404875822293,44.96913900395725,0.0,48.03139017760327,70.72836002527038,157.11126216332195,0.0,0.0,0.0,112.56722536118468,132.9054618990267,86.86681850935929,0.112,0.6,1.0,-1.75
2026-02,2026-02,reports/regression\nifty500\sub\lambdarank_models\fold038_2026-02.txt,22.509615369155654,76.84059349177414,0.0,255.7342615805137,18.65626350218008,25.45269487221958,0.0,0.0,0.0,28.191278495367442,148.82968649412214,88.6220189285159,0.0526,0.6,0.4,-55.88
2026-03,2026-03,reports/regression\nifty500\sub\lambdarank_models\fold039_2026-03.txt,14.005398108252848,61.813753251422895,0.0,215.72482380511974,18.660894926724723,45.73757624077007,0.0,0.0,0.0,24.644078534209257,173.64523001573434,93.70745395880476,-0.0609,-0.4,-3.22,148.97
